,vid,label
0,v_sJFgo9H6zNo,57
1,v_u2uoYvo8J5s,171
2,v_rs7er4e67ec,75
3,v_6ZabZdqdLyA,171
4,v_sjyZWmvTGA4,13
5,v_BxzOUJbq28s,108
6,v_Z8yNbpjUSLc,89
7,v_6uhLrPgbpUA,4
8,v_2U0vMYnC49c,139
9,v_gKkk82LG8H0,108
10,v_UvuXGKesWS0,170
11,v_p800u2wCKbE,89
12,v_BfnM0eyjB5Q,3
13,v_0YQPGAsZPgY,108
14,v_5Bo0gFXxDQk,196
15,v_hmT9H0IjiGs,89
16,v_97McCuWAynA,169
17,v_IGcsVPa34Hc,5
18,v_qogdv5DWzkQ,14
19,v_gSeE_Ms-2TI,145
20,v_1PTNnaEu8xo,24
21,v_rhOtqArO-3Y,158
22,v_D_XMD02v690,43
23,v_lVMMPkvnid8,124
24,v_a2vaM_aRHv4,88
25,v_5DhbyYavYp4,177
26,v_YUFPWt0VQ1Y,53
27,v_WMdeqUyHWSo,81
28,v_buhaBimF4M0,144
29,v_KaGGtAhiH64,121
30,v_0bosp4-pyTM,150
31,v_IgEc5mY9L44,196
32,v_0MtST08F2Xc,137
33,v_I4wkBjpwAAU,179
34,v_5o9iv0wC59g,108
35,v_Ci9WKE6wkOQ,82
36,v_F_EHrfbYsRE,147
37,v_1FMjfLRpXwM,14
38,v_yxSBQXuOwuc,149
39,v_Iuk7PNmG3tQ,114
40,v_VCldTcZi0aE,53
41,v_K8G5CBJtluY,44
42,v_srXhWAGzd-s,66
43,v_b5GrYqt5tRQ,24
44,v_jgNeMnPVfkQ,114
45,v_MbCAiWBhAjo,89
46,v_r2oMItb5EVM,91
47,v_zDBpa2miW8A,38
48,v_7tdlcmbuLOA,189
49,v_E7NTSqMgx44,53
50,v_0J55EGFLglQ,58
51,v_zlXvqnBqVvI,155
52,v_R0sADQPdso8,74
53,v_dAa10hlgxCY,8
54,v_UxlDSfC7S-0,93
55,v_WBkqGBFsdgI,155
56,v_fxlTN3mCWDA,108
57,v_TxxUmibEy9Q,2
58,v_0UcBldDI0RA,196
59,v_SID0y9y6Uk4,45
60,v_J65l9OEP3pI,139
61,v_sFKOnFMJF2Q,87
62,v_h5fX5z-unJc,119
63,v_Yojuicji624,158
64,v_lGwUq5vZGEk,14
65,v_R4ouBBtg-B4,158
66,v_G16xScfD5WM,24
67,v_SpwOzrXw9JU,150
68,v_WltsIClflnA,171
69,v_yxZ4ouqcld4,147
70,v_VcbMGRcN9Cc,172
71,v_hMUoeOFmquI,147
72,v_bLqd98mmu3w,170
73,v_-b2lkhdJXf4,58
74,v_7XGimCWcafc,26
75,v_C5KcdwGSvbw,5
76,v_CtA4VynDEkI,183
77,v_e0Qj2F3V6fM,91
78,v_1G3rv9ssDY4,4
79,v_MYRsm8m9mk4,179
80,v_LAkaYds-8X0,124
81,v_GTxmHim5JnY,171
82,v_-XCESzrIWXA,58
83,v_Po6tK3rYE8E,68
84,v_FGAlwzRvAHg,195
85,v_DU36SNYN-rw,40
86,v_8d8juWOKb0c,45
87,v_Jz9ZxenBLa8,140
88,v_o2mqzjWJJNw,196
89,v_unz00-r84NY,75
90,v_gnVupEzu59g,163
91,v_8P0N5psQrEI,135
92,v_qI_Bo0D6p7I,74
93,v_qsTCTQo-wI8,108
94,v_UBtVJ-w9O28,24
95,v_NsYBZUTzgDw,33
96,v_mTtBz5d83C4,162
97,v_wz_kM0oBW5g,37
98,v_VBY8feOQgy4,45
99,v_bDkSq9T55RI,39
100,v_ql7I6qtyhBU,37
101,v_PpbBWqlsbxk,136
102,v_WJ4tCIdAgVo,71
103,v_3Y46yorcd5Q,169
104,v_MYzG-TsW8w8,57
105,v_HQdnIIRVqEk,144
106,v_PyM_VG5KFa4,109
107,v_OMGTFZ9csg0,195
108,v_9g1omTdpoYs,88
109,v_UomiLRs--C8,196
110,v_f7qFnCkFIuQ,97
111,v_dUa0E0ASviM,179
112,v_nyEcPLZQerc,147
113,v_yfeKtTU0aOE,185
114,v_l5xW6UZWwBs,155
115,v_8oI4xGqkzSE,40
116,v_qi_6u0mMJQM,77
117,v_9eqfQyr3J7k,162
118,v_Ffi7vDa3C2I,144
119,v_WhEdTfs7U5E,106
120,v_cCYLiE1fiEo,135
121,v_ns8v94HCtlM,63
122,v_zW_8T8w7304,93
123,v_poFH53rF9uY,75
124,v_Uo9q4riquHM,38
125,v_-5h2E52tl4Q,31
126,v_Hxb8D4W-G0I,87
127,v_slUvIngXl4g,168
128,v_YptHsVTHquc,74
129,v_6iuD3pSgBcw,109
130,v_1dFLeGRT0NQ,74
131,v_J4vq7MLMAtY,172
132,v_XuwqWdp-u2M,71
133,v_WXQol1TisqE,21
134,v_7hRls13HJow,93
135,v_STgbw-zqZJM,13
136,v_MEbEcvzdytY,54
137,v_hQ4xkr6VpnA,14
138,v_r8RJSDKy9iA,133
139,v_YJ4ynq5Adg0,136
140,v_F2Igw6lvqwk,135
141,v_wxoe1M2L4Qo,149
142,v_Bhz-WgJH8R0,157
143,v_bkRQgwbP0WM,121
144,v_KptXzRFIvTw,39
145,v_axoyB4pypWY,40
146,v_a50gTER-FsQ,37
147,v_zpJ91CkCiyw,144
148,v_wjD2BdbSb1o,97
149,v_KKrHX-pywBQ,87
150,v_GuzLtwhxsxA,23
151,v_b5E7-GxvCdk,38
152,v_xFqGY-y4OUg,119
153,v_lhnhGI-rrzM,87
154,v_QvM8SFUUvsw,121
155,v_exzuzQLrv7g,45
156,v_3HBAcaU552I,59
157,v_wOwWidUOaxc,168
158,v_kMYZWwZXx3E,97
