,vid,label
0,--4-0ihtnBU_000058_000068,4
1,--6q_33gNew_000132_000142,27
2,-00nar1nEPc_000033_000043,13
3,-1IlTIWPNs4_000027_000037,23
4,-239HZbaZ0M_000164_000174,25
5,-24HxQDHOAM_000001_000011,6
6,-2IdUKJVuMY_000004_000014,28
7,-2UWP3n_05A_000360_000370,25
8,-2UnEKzUgSU_000005_000015,4
9,-2hoixBAoJ4_000346_000356,7
10,-3EZyImLCXk_000003_000013,12
11,-3Esu7rw6DM_000103_000113,11
12,-3Nz5NOgpXM_000057_000067,19
13,-3lhp17hpGw_000083_000093,24
14,-3t2tQHIpZw_000001_000011,24
15,-40Vpi4U4ac_000028_000038,28
16,-4XHW-rTETw_000029_000039,7
17,-4r6VLqGeK4_000106_000116,27
18,-4rho9cuCfk_000014_000024,9
19,-4uHANzXV6k_000822_000832,18
20,-5Lb5xpM1ZQ_000006_000016,9
21,-5Tu_wiNnmg_000032_000042,8
22,-5WZ2MfBhz8_000011_000021,1
23,-5a-sqTyPqM_000005_000015,6
24,-6Uat2UGZ9c_000001_000011,15
25,-6xaLevd_z4_000038_000048,1
26,-6y3YkJOxy8_000195_000205,15
27,-7SwhiYPNkI_000026_000036,12
28,-7mzCq3m6mQ_000022_000032,18
29,-86xbR-_1E8_000335_000345,9
30,-8CTFoCnaY8_000000_000010,17
31,-8M6XG8uP_o_000021_000031,1
32,-8_AxtRflmg_000000_000010,4
33,-8p7pwxhob8_000002_000012,13
34,-8rCdhZK7rE_000066_000076,9
35,-8zbv5k27mE_000020_000030,28
36,-90YUx0XA2w_000069_000079,12
37,-9GOvo_CfRw_000028_000038,1
38,-A-VnQIVFLo_000122_000132,27
39,-A3A2GgRkyQ_000002_000012,4
40,-A3CcrEtLpM_000000_000010,2
41,-AENAqVfyDo_000012_000022,0
42,-AexE0IVHwE_000040_000050,23
43,-AmEU3mZ4-Y_000156_000166,15
44,-AwzJYrHCO4_000014_000024,6
45,-BO5TqyEvPw_000023_000033,9
46,-BlHH8Gi9hc_000022_000032,17
47,-C6qLnqVu5I_000032_000042,8
48,-CuDMAzj4AE_000062_000072,16
49,-Cw8Z-5ShUM_000022_000032,6
50,-D0f4exnx9M_000005_000015,13
51,-DCyVd5Ilyk_000039_000049,20
52,-De_GTVNO-o_000017_000027,0
53,-DyoxbCwuB8_000110_000120,7
54,-EACZrr00gw_000034_000044,18
55,-EBaSAYCDu8_000041_000051,20
56,-EbdKNOYLM4_000003_000013,28
57,-EiGTBZm9qo_000014_000024,24
58,-EnWmIji1xc_000120_000130,4
59,-FNoIqT9VJ0_000069_000079,7
60,-FegJMpQ2DE_000063_000073,4
61,-FhoqTprJw4_000382_000392,28
62,-G33p_0DXas_000067_000077,17
63,-GE9OvW56nM_000042_000052,8
64,-H1ScxTwBlw_000123_000133,5
65,-HtSfbgCm10_000040_000050,2
66,-I9D8V2YNds_000424_000434,10
67,-IB9PfKyaoE_000059_000069,6
68,-ID7HUQnT5g_000010_000020,2
69,-IENKCQdaVc_000054_000064,25
70,-IElB_PdPwc_000035_000045,25
71,-IVVNTOnTyQ_000067_000077,18
72,-JA4tOwoZr4_000021_000031,29
73,-JBYnTzE6JI_000111_000121,18
74,-JKF526GGzc_000226_000236,18
75,-JTJZtw_w2Y_000290_000300,10
76,-JU6mYrtOwk_000022_000032,12
77,-JkLDzQPtYI_000053_000063,9
78,-JmAezdkneo_000200_000210,3
79,-K3W2m46ezw_000001_000011,23
80,-KHIKaCGKBY_000051_000061,21
81,-KR_CwOss6E_000019_000029,8
82,-KkHyoafXmw_000073_000083,1
83,-Kp1ZTCMSsQ_000211_000221,4
84,-KuyyhFURRM_000001_000011,20
85,-L-WOazh1xI_000002_000012,3
86,-L3cTxtL8Tw_000084_000094,11
87,-LEobPrk_S0_000062_000072,10
88,-LMCI_EBJvc_000409_000419,13
89,-LblDlF0WZ4_000078_000088,17
90,-LgzJAo3xn8_000017_000027,13
91,-LmFPtnbal0_000008_000018,3
92,-MG-E8R8aE4_000000_000010,24
93,-MMxEvltTLo_000024_000034,12
94,-MZkNqTlygo_000002_000012,0
95,-MfVZopgATw_000139_000149,12
96,-N3OFaiPi1w_000018_000028,28
97,-N4G4FQ2s3U_000169_000179,2
98,-N4vEATi9Mk_000003_000013,2
99,-N8u3wSeihI_000003_000013,23
100,-NLHOKYqqq0_000040_000050,20
101,-NUbtpgQtNY_000059_000069,16
102,-Nb91doUk70_000120_000130,28
103,-Nx8SzhbsXM_000039_000049,8
104,-O3yc1TtPe0_000032_000042,6
105,-O4Fx2w0FiI_000045_000055,11
106,-O4iEuGsahU_000100_000110,12
107,-OKWQGh34kw_000100_000110,9
108,-OXQ0KE8cGg_000019_000029,23
109,-OaV_EHAb7I_000036_000046,21
110,-OcIvI-VIuk_000031_000041,7
111,-OlmQLuFKKE_000050_000060,17
112,-OpCe8xgLGo_000018_000028,6
113,-PdaQBx2x8U_000004_000014,28
114,-PpuDhbMdoY_000047_000057,8
115,-Py356M6sPI_000081_000091,27
116,-Q8pn_086zo_000202_000212,14
117,-QFrYnizm74_000005_000015,22
118,-QJGnhkNZ9w_000007_000017,8
119,-Qc1tOylcjc_000044_000054,0
120,-RJjabrlrjU_000148_000158,23
121,-RtyF_Vqld0_000368_000378,6
122,-S5q7b5fBPs_000000_000010,24
123,-SIJLK07FM0_000036_000046,21
124,-SUchzC0pBQ_000001_000011,6
125,-SWLyUn-o0s_000037_000047,27
126,-SWRpFD0bW0_001703_001713,11
127,-Sw56gTpqS0_000014_000024,14
128,-TKBCaIKr18_000074_000084,9
129,-TMNOCKit8c_000001_000011,1
130,-ToJaKgfuX4_000044_000054,20
131,-USWJfkof9Y_000002_000012,22
132,-UlDO6K_3qU_000019_000029,3
133,-V00wKlFJA0_000085_000095,8
134,-V2uLG7pjnc_000004_000014,10
135,-V44aYCVuWU_000001_000011,20
136,-VLYS339Eis_000067_000077,11
137,-VMdyhBgByw_000014_000024,2
138,-VNC9Xyam2A_000026_000036,11
139,-VZ3LiN_qIs_000045_000055,13
140,-V_FhPVS9wc_000037_000047,18
141,-VvCOGy5oTc_000013_000023,17
142,-W06q2S-RG0_000251_000261,2
143,-W0E_PJW_6g_000001_000011,25
144,-WNc5eF9kvU_000091_000101,19
145,-Wr6WOXnztk_000194_000204,9
146,-Wx087CwsdQ_000011_000021,3
147,-WxSY9sL3qo_000053_000063,14
148,-WyrUbKbzw8_000006_000016,2
149,-X-BY_g8vCY_000005_000015,3
150,-XRUhNpUzfU_000229_000239,6
151,-XWjsz_0_OE_000031_000041,5
152,-Xeb_fCziLY_000022_000032,21
153,-XnNKlTGOqE_000037_000047,6
154,-Y3tYswTUCE_000167_000177,30
155,-YCNtd_5VTg_000057_000067,23
156,-YfAShxhiGg_000003_000013,13
157,-YvreOwOF5c_000397_000407,13
158,-Z1pG8Ym6m8_000019_000029,30
159,-Z7f9FsEGKI_000092_000102,25
160,-ZAln9tDicI_000026_000036,13
161,-ZElkWIcWXM_000030_000040,1
162,-ZloKcjoAhQ_000000_000010,11
163,-ZobEDvRtD8_000000_000010,28
164,-_D_WFt2e-I_000030_000040,21
165,-_KiwxNptjs_000159_000169,4
166,-_Oh2h4KoDQ_000153_000163,18
167,-_fyC_TDjK0_000048_000058,8
168,-_srAE4uEpo_000003_000013,2
169,-a6rPASijwQ_000011_000021,4
170,-aKu5UqcR2s_000076_000086,12
171,-aYH7Dw-Edk_000411_000421,23
172,-acnXbfOk_M_000123_000133,4
173,-araxNMgKLs_000324_000334,12
174,-av_0U1Ij7M_000319_000329,26
175,-b5vQ-sabYg_000003_000013,13
176,-bN9HFn0Lng_000115_000125,10
177,-bdoDGMmaAw_000000_000010,17
178,-bwuasQNmkw_000029_000039,28
179,-c1HHlh_S58_000265_000275,11
180,-c3rYbtNNqw_000081_000091,23
181,-c7TtG--GTc_000050_000060,6
182,-cijRBhQy6g_000022_000032,6
183,-cqvQ7Pzqpk_000003_000013,29
184,-czkueqmw4w_000042_000052,13
185,-dHlx7IlVRc_000095_000105,7
186,-dc_DkMuHv0_000028_000038,18
187,-dqkWTmUjT4_000007_000017,18
188,-dxZzuZfmOo_000015_000025,24
189,-e7QRD-Rlmc_000079_000089,12
190,-eYDIcSXzeY_000024_000034,2
191,-eo0zp_hyyI_000158_000168,7
192,-eq3I7gRqTI_000100_000110,6
193,-erfdAkSa1I_000006_000016,29
194,-fD7fcqxj9Q_000043_000053,28
195,-fS4i4rRVCo_000000_000010,2
196,-gMwxP9-xwk_000002_000012,13
197,-gPM8Ml6_4U_000000_000010,18
198,-gZeSY1XHHA_000091_000101,20
199,-h1jccLMbjM_000011_000021,20
200,-h2phUhlpuc_000066_000076,16
201,-h6g5tsPLo4_000000_000010,12
202,-hYB6WAhZTQ_000117_000127,29
203,-hYwwirfVTo_000058_000068,26
204,-hctofG3AfI_000227_000237,12
205,-hvXrI1Ufcs_000169_000179,9
206,-i1x6TgfsKQ_000029_000039,8
207,-i5p-3d7kFs_000097_000107,20
208,-jDxnPim1A0_000099_000109,20
209,-jSa98fL8vU_000003_000013,3
210,-js8tMwwM0s_000644_000654,9
211,-k0zZOzKwus_000020_000030,1
212,-kBCX4HmGrE_000032_000042,29
213,-kBIyyVuFDg_000006_000016,21
214,-kEbX9clxOw_000004_000014,2
215,-kmstKIbdlQ_000012_000022,2
216,-koo4FOfZE0_000070_000080,27
217,-l2yvybjqhI_000034_000044,30
218,-lJzDCqh_CI_000012_000022,23
219,-laf6Y17FkA_000127_000137,27
220,-lgTBrMOyrs_000000_000010,21
221,-luSTDx03Gk_000321_000331,10
222,-lwiBgcMEpA_000017_000027,6
223,-m2WZLslIqw_000125_000135,27
224,-m4lDw7atUE_000085_000095,27
225,-mD-yKhF5xU_000195_000205,23
226,-mWYY0OLJvM_000061_000071,13
227,-m_zWYs2Yd0_000006_000016,17
228,-meGt0b1cxk_000002_000012,2
229,-mmu5VJRY1Y_000061_000071,5
230,-myCf0EqkuA_000173_000183,9
231,-mzoZE0oQE8_000005_000015,17
232,-n0z-qvK7x4_000045_000055,27
233,-nIkLweYb7w_000004_000014,3
234,-nQBEE7a3wc_000165_000175,6
