,vid,label
0,v_ApplyEyeMakeup_g08_c01,0
1,v_ApplyEyeMakeup_g08_c02,0
2,v_ApplyEyeMakeup_g08_c03,0
3,v_ApplyEyeMakeup_g08_c04,0
4,v_ApplyEyeMakeup_g08_c05,0
5,v_ApplyEyeMakeup_g09_c01,0
6,v_ApplyEyeMakeup_g09_c02,0
7,v_ApplyEyeMakeup_g09_c03,0
8,v_ApplyEyeMakeup_g09_c04,0
9,v_ApplyEyeMakeup_g09_c05,0
10,v_ApplyEyeMakeup_g09_c06,0
11,v_ApplyEyeMakeup_g09_c07,0
12,v_ApplyEyeMakeup_g10_c01,0
13,v_ApplyEyeMakeup_g10_c02,0
14,v_ApplyEyeMakeup_g10_c03,0
15,v_ApplyEyeMakeup_g10_c04,0
16,v_ApplyEyeMakeup_g10_c05,0
17,v_ApplyEyeMakeup_g11_c01,0
18,v_ApplyEyeMakeup_g11_c02,0
19,v_ApplyEyeMakeup_g11_c03,0
20,v_ApplyEyeMakeup_g11_c04,0
21,v_ApplyEyeMakeup_g11_c05,0
22,v_ApplyEyeMakeup_g12_c01,0
23,v_ApplyEyeMakeup_g12_c02,0
24,v_ApplyEyeMakeup_g12_c03,0
25,v_ApplyEyeMakeup_g12_c04,0
26,v_ApplyEyeMakeup_g12_c05,0
27,v_ApplyEyeMakeup_g12_c06,0
28,v_ApplyEyeMakeup_g13_c01,0
29,v_ApplyEyeMakeup_g13_c02,0
30,v_ApplyEyeMakeup_g13_c03,0
31,v_ApplyEyeMakeup_g13_c04,0
32,v_ApplyEyeMakeup_g13_c05,0
33,v_ApplyEyeMakeup_g13_c06,0
34,v_ApplyEyeMakeup_g14_c01,0
35,v_ApplyEyeMakeup_g14_c02,0
36,v_ApplyEyeMakeup_g14_c03,0
37,v_ApplyEyeMakeup_g14_c04,0
38,v_ApplyEyeMakeup_g14_c05,0
39,v_ApplyEyeMakeup_g15_c01,0
40,v_ApplyEyeMakeup_g15_c02,0
41,v_ApplyEyeMakeup_g15_c03,0
42,v_ApplyEyeMakeup_g15_c04,0
43,v_ApplyEyeMakeup_g15_c05,0
44,v_ApplyEyeMakeup_g15_c06,0
45,v_ApplyEyeMakeup_g15_c07,0
46,v_ApplyEyeMakeup_g16_c01,0
47,v_ApplyEyeMakeup_g16_c02,0
48,v_ApplyEyeMakeup_g16_c03,0
49,v_ApplyEyeMakeup_g16_c04,0
50,v_ApplyEyeMakeup_g16_c05,0
51,v_ApplyEyeMakeup_g17_c01,0
52,v_ApplyEyeMakeup_g17_c02,0
53,v_ApplyEyeMakeup_g17_c03,0
54,v_ApplyEyeMakeup_g17_c04,0
55,v_ApplyEyeMakeup_g17_c05,0
56,v_ApplyEyeMakeup_g18_c01,0
57,v_ApplyEyeMakeup_g18_c02,0
58,v_ApplyEyeMakeup_g18_c03,0
59,v_ApplyEyeMakeup_g18_c04,0
60,v_ApplyEyeMakeup_g18_c05,0
61,v_ApplyEyeMakeup_g19_c01,0
62,v_ApplyEyeMakeup_g19_c02,0
63,v_ApplyEyeMakeup_g19_c03,0
64,v_ApplyEyeMakeup_g19_c04,0
65,v_ApplyEyeMakeup_g20_c01,0
66,v_ApplyEyeMakeup_g20_c02,0
67,v_ApplyEyeMakeup_g20_c03,0
68,v_ApplyEyeMakeup_g20_c04,0
69,v_ApplyEyeMakeup_g20_c05,0
70,v_ApplyEyeMakeup_g20_c06,0
71,v_ApplyEyeMakeup_g21_c01,0
72,v_ApplyEyeMakeup_g21_c02,0
73,v_ApplyEyeMakeup_g21_c03,0
74,v_ApplyEyeMakeup_g21_c04,0
75,v_ApplyEyeMakeup_g21_c05,0
76,v_ApplyEyeMakeup_g22_c01,0
77,v_ApplyEyeMakeup_g22_c02,0
78,v_ApplyEyeMakeup_g22_c03,0
79,v_ApplyEyeMakeup_g22_c04,0
80,v_ApplyEyeMakeup_g22_c05,0
81,v_ApplyEyeMakeup_g23_c01,0
82,v_ApplyEyeMakeup_g23_c02,0
83,v_ApplyEyeMakeup_g23_c03,0
84,v_ApplyEyeMakeup_g23_c04,0
85,v_ApplyEyeMakeup_g23_c05,0
86,v_ApplyEyeMakeup_g23_c06,0
87,v_ApplyEyeMakeup_g24_c01,0
88,v_ApplyEyeMakeup_g24_c02,0
89,v_ApplyEyeMakeup_g24_c03,0
90,v_ApplyEyeMakeup_g24_c04,0
91,v_ApplyEyeMakeup_g24_c05,0
92,v_ApplyEyeMakeup_g24_c06,0
93,v_ApplyEyeMakeup_g24_c07,0
94,v_ApplyEyeMakeup_g25_c01,0
95,v_ApplyEyeMakeup_g25_c02,0
96,v_ApplyEyeMakeup_g25_c03,0
97,v_ApplyEyeMakeup_g25_c04,0
98,v_ApplyEyeMakeup_g25_c05,0
99,v_ApplyEyeMakeup_g25_c06,0
100,v_ApplyEyeMakeup_g25_c07,0
101,v_ApplyLipstick_g08_c01,1
102,v_ApplyLipstick_g08_c02,1
103,v_ApplyLipstick_g08_c03,1
104,v_ApplyLipstick_g08_c04,1
105,v_ApplyLipstick_g09_c01,1
106,v_ApplyLipstick_g09_c02,1
107,v_ApplyLipstick_g09_c03,1
108,v_ApplyLipstick_g09_c04,1
109,v_ApplyLipstick_g10_c01,1
110,v_ApplyLipstick_g10_c02,1
111,v_ApplyLipstick_g10_c03,1
112,v_ApplyLipstick_g10_c04,1
113,v_ApplyLipstick_g11_c01,1
114,v_ApplyLipstick_g11_c02,1
115,v_ApplyLipstick_g11_c03,1
116,v_ApplyLipstick_g11_c04,1
117,v_ApplyLipstick_g12_c01,1
118,v_ApplyLipstick_g12_c02,1
119,v_ApplyLipstick_g12_c03,1
120,v_ApplyLipstick_g12_c04,1
121,v_ApplyLipstick_g12_c05,1
122,v_ApplyLipstick_g13_c01,1
123,v_ApplyLipstick_g13_c02,1
124,v_ApplyLipstick_g13_c03,1
125,v_ApplyLipstick_g13_c04,1
126,v_ApplyLipstick_g14_c01,1
127,v_ApplyLipstick_g14_c02,1
128,v_ApplyLipstick_g14_c03,1
129,v_ApplyLipstick_g14_c04,1
130,v_ApplyLipstick_g15_c01,1
131,v_ApplyLipstick_g15_c02,1
132,v_ApplyLipstick_g15_c03,1
133,v_ApplyLipstick_g15_c04,1
134,v_ApplyLipstick_g15_c05,1
135,v_ApplyLipstick_g16_c01,1
136,v_ApplyLipstick_g16_c02,1
137,v_ApplyLipstick_g16_c03,1
138,v_ApplyLipstick_g16_c04,1
139,v_ApplyLipstick_g16_c05,1
140,v_ApplyLipstick_g17_c01,1
141,v_ApplyLipstick_g17_c02,1
142,v_ApplyLipstick_g17_c03,1
143,v_ApplyLipstick_g17_c04,1
144,v_ApplyLipstick_g17_c05,1
145,v_ApplyLipstick_g18_c01,1
146,v_ApplyLipstick_g18_c02,1
147,v_ApplyLipstick_g18_c03,1
148,v_ApplyLipstick_g18_c04,1
149,v_ApplyLipstick_g19_c01,1
150,v_ApplyLipstick_g19_c02,1
151,v_ApplyLipstick_g19_c03,1
152,v_ApplyLipstick_g19_c04,1
153,v_ApplyLipstick_g20_c01,1
154,v_ApplyLipstick_g20_c02,1
155,v_ApplyLipstick_g20_c03,1
156,v_ApplyLipstick_g20_c04,1
157,v_ApplyLipstick_g20_c05,1
158,v_ApplyLipstick_g21_c01,1
159,v_ApplyLipstick_g21_c02,1
160,v_ApplyLipstick_g21_c03,1
161,v_ApplyLipstick_g21_c04,1
162,v_ApplyLipstick_g21_c05,1
163,v_ApplyLipstick_g22_c01,1
164,v_ApplyLipstick_g22_c02,1
165,v_ApplyLipstick_g22_c03,1
166,v_ApplyLipstick_g22_c04,1
167,v_ApplyLipstick_g22_c05,1
168,v_ApplyLipstick_g22_c06,1
169,v_ApplyLipstick_g22_c07,1
170,v_ApplyLipstick_g23_c01,1
171,v_ApplyLipstick_g23_c02,1
172,v_ApplyLipstick_g23_c03,1
173,v_ApplyLipstick_g23_c04,1
174,v_ApplyLipstick_g24_c01,1
175,v_ApplyLipstick_g24_c02,1
176,v_ApplyLipstick_g24_c03,1
177,v_ApplyLipstick_g24_c04,1
178,v_ApplyLipstick_g24_c05,1
179,v_ApplyLipstick_g25_c01,1
180,v_ApplyLipstick_g25_c02,1
181,v_ApplyLipstick_g25_c03,1
182,v_ApplyLipstick_g25_c04,1
183,v_Archery_g08_c01,2
184,v_Archery_g08_c02,2
185,v_Archery_g08_c03,2
186,v_Archery_g08_c04,2
187,v_Archery_g08_c05,2
188,v_Archery_g09_c01,2
189,v_Archery_g09_c02,2
190,v_Archery_g09_c03,2
191,v_Archery_g09_c04,2
192,v_Archery_g09_c05,2
193,v_Archery_g09_c06,2
194,v_Archery_g09_c07,2
195,v_Archery_g10_c01,2
196,v_Archery_g10_c02,2
197,v_Archery_g10_c03,2
198,v_Archery_g10_c04,2
199,v_Archery_g10_c05,2
200,v_Archery_g10_c06,2
201,v_Archery_g10_c07,2
202,v_Archery_g11_c01,2
203,v_Archery_g11_c02,2
204,v_Archery_g11_c03,2
205,v_Archery_g11_c04,2
206,v_Archery_g11_c05,2
207,v_Archery_g11_c06,2
208,v_Archery_g11_c07,2
209,v_Archery_g12_c01,2
210,v_Archery_g12_c02,2
211,v_Archery_g12_c03,2
212,v_Archery_g12_c04,2
213,v_Archery_g13_c01,2
214,v_Archery_g13_c02,2
215,v_Archery_g13_c03,2
216,v_Archery_g13_c04,2
217,v_Archery_g13_c05,2
218,v_Archery_g13_c06,2
219,v_Archery_g13_c07,2
220,v_Archery_g14_c01,2
221,v_Archery_g14_c02,2
222,v_Archery_g14_c03,2
223,v_Archery_g14_c04,2
224,v_Archery_g15_c01,2
225,v_Archery_g15_c02,2
226,v_Archery_g15_c03,2
227,v_Archery_g15_c04,2
228,v_Archery_g15_c05,2
229,v_Archery_g15_c06,2
230,v_Archery_g15_c07,2
231,v_Archery_g16_c01,2
232,v_Archery_g16_c02,2
233,v_Archery_g16_c03,2
234,v_Archery_g16_c04,2
235,v_Archery_g16_c05,2
236,v_Archery_g17_c01,2
237,v_Archery_g17_c02,2
238,v_Archery_g17_c03,2
239,v_Archery_g17_c04,2
240,v_Archery_g18_c01,2
241,v_Archery_g18_c02,2
242,v_Archery_g18_c03,2
243,v_Archery_g18_c04,2
244,v_Archery_g18_c05,2
245,v_Archery_g18_c06,2
246,v_Archery_g18_c07,2
247,v_Archery_g19_c01,2
248,v_Archery_g19_c02,2
249,v_Archery_g19_c03,2
250,v_Archery_g19_c04,2
251,v_Archery_g20_c01,2
252,v_Archery_g20_c02,2
253,v_Archery_g20_c03,2
254,v_Archery_g20_c04,2
255,v_Archery_g20_c05,2
256,v_Archery_g20_c06,2
257,v_Archery_g20_c07,2
258,v_Archery_g21_c01,2
259,v_Archery_g21_c02,2
260,v_Archery_g21_c03,2
261,v_Archery_g21_c04,2
262,v_Archery_g22_c01,2
263,v_Archery_g22_c02,2
264,v_Archery_g22_c03,2
265,v_Archery_g22_c04,2
266,v_Archery_g22_c05,2
267,v_Archery_g23_c01,2
268,v_Archery_g23_c02,2
269,v_Archery_g23_c03,2
270,v_Archery_g23_c04,2
271,v_Archery_g23_c05,2
272,v_Archery_g23_c06,2
273,v_Archery_g23_c07,2
274,v_Archery_g24_c01,2
275,v_Archery_g24_c02,2
276,v_Archery_g24_c03,2
277,v_Archery_g24_c04,2
278,v_Archery_g24_c05,2
279,v_Archery_g24_c06,2
280,v_Archery_g25_c01,2
281,v_Archery_g25_c02,2
282,v_Archery_g25_c03,2
283,v_Archery_g25_c04,2
284,v_Archery_g25_c05,2
285,v_Archery_g25_c06,2
286,v_Archery_g25_c07,2
287,v_BabyCrawling_g08_c01,3
288,v_BabyCrawling_g08_c02,3
289,v_BabyCrawling_g08_c03,3
290,v_BabyCrawling_g08_c04,3
291,v_BabyCrawling_g09_c01,3
292,v_BabyCrawling_g09_c02,3
293,v_BabyCrawling_g09_c03,3
294,v_BabyCrawling_g09_c04,3
295,v_BabyCrawling_g09_c05,3
296,v_BabyCrawling_g09_c06,3
297,v_BabyCrawling_g10_c01,3
298,v_BabyCrawling_g10_c02,3
299,v_BabyCrawling_g10_c03,3
300,v_BabyCrawling_g10_c04,3
301,v_BabyCrawling_g10_c05,3
302,v_BabyCrawling_g11_c01,3
303,v_BabyCrawling_g11_c02,3
304,v_BabyCrawling_g11_c03,3
305,v_BabyCrawling_g11_c04,3
306,v_BabyCrawling_g12_c01,3
307,v_BabyCrawling_g12_c02,3
308,v_BabyCrawling_g12_c03,3
309,v_BabyCrawling_g12_c04,3
310,v_BabyCrawling_g12_c05,3
311,v_BabyCrawling_g12_c06,3
312,v_BabyCrawling_g13_c01,3
313,v_BabyCrawling_g13_c02,3
314,v_BabyCrawling_g13_c03,3
315,v_BabyCrawling_g13_c04,3
316,v_BabyCrawling_g13_c05,3
317,v_BabyCrawling_g13_c06,3
318,v_BabyCrawling_g14_c01,3
319,v_BabyCrawling_g14_c02,3
320,v_BabyCrawling_g14_c03,3
