,vid,label
0,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ba_goo_4,0
1,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ri_med_3,0
2,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_0,0
3,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_1,0
4,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_med_2,0
5,Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_ba_med_3,0
6,Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_1,0
7,Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_2,0
8,Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_med_0,0
9,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_1,0
10,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_2,0
11,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_4,0
12,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_le_goo_3,0
13,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_ri_goo_0,0
14,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_h_cm_np2_ri_goo_6,0
15,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_h_nm_np2_ri_goo_5,0
16,Brushing_hair__the_right_way_brush_hair_u_nm_np1_fr_goo_0,0
17,Brushing_hair__the_right_way_brush_hair_u_nm_np1_fr_goo_1,0
18,Brushing_my_Long_Hair__February_2009_brush_hair_u_nm_np1_ba_goo_1,0
19,Brushing_my_Long_Hair__February_2009_brush_hair_u_nm_np1_fr_goo_0,0
20,Brushing_my_hair_-_December_2008_brush_hair_u_cm_np1_ba_goo_1,0
21,Brushing_my_hair_-_December_2008_brush_hair_u_cm_np1_ba_goo_2,0
22,Brushing_my_hair_-_December_2008_brush_hair_u_nm_np1_ba_goo_0,0
23,Brushing_my_long_hair_brush_hair_u_nm_np1_ba_goo_2,0
24,Brushing_my_long_hair_brush_hair_u_nm_np1_fr_goo_0,0
25,Brushing_my_long_hair_brush_hair_u_nm_np1_fr_goo_1,0
26,Chanta!____THAT_IS_long_blonde_hair!_brush_hair_u_cm_np1_fr_goo_2,0
27,Chanta!____THAT_IS_long_blonde_hair!_brush_hair_u_cm_np1_le_goo_0,0
28,Chanta!____THAT_IS_long_blonde_hair!_brush_hair_u_cm_np1_le_goo_1,0
29,Chanta!____THAT_IS_long_blonde_hair!_brush_hair_u_nm_np1_ri_goo_3,0
30,Ella_brushing_her_amazing_long_hair_brush_hair_u_cm_np1_ba_goo_0,0
31,Ella_brushing_her_amazing_long_hair_brush_hair_u_cm_np1_ba_goo_2,0
32,Ella_brushing_her_long_blonde_hair___again_brush_hair_u_cm_np1_ba_goo_0,0
33,Ella_brushing_her_long_blonde_hair___again_brush_hair_u_cm_np1_ba_goo_2,0
34,Ella_brushing_her_long_blonde_hair___again_brush_hair_u_cm_np1_le_goo_1,0
35,Haarek_mmen_brush_hair_h_cm_np1_fr_goo_1,0
36,Haarek_mmen_brush_hair_h_cm_np1_fr_goo_2,0
37,My_Hair_Routine_brush_hair_h_nm_np1_le_goo_0,0
38,Olivia_Brushing_Hair_Playing_with_Evelyn_brush_hair_u_cm_np1_fr_goo_1,0
39,Olivia_Brushing_Hair_Playing_with_Evelyn_brush_hair_u_cm_np2_ri_goo_0,0
40,Prelinger_HabitPat1954_brush_hair_h_nm_np1_ba_med_2,0
41,Prelinger_HabitPat1954_brush_hair_h_nm_np1_fr_med_26,0
42,Prelinger_HabitPat1954_brush_hair_u_cm_np1_le_med_10,0
43,Prelinger_HabitPat1954_brush_hair_u_nm_np1_le_goo_11,0
44,Silky_Straight_Hair_Original_brush_hair_h_nm_np1_ba_goo_1,0
45,Silky_Straight_Hair_Original_brush_hair_u_nm_np1_ba_goo_2,0
46,atempting_to_brush_my_hair_brush_hair_u_nm_np2_le_goo_0,0
47,atempting_to_brush_my_hair_brush_hair_u_nm_np2_le_goo_1,0
48,brush_my_hair_without_wearing_the_glasses_brush_hair_u_nm_np1_fr_goo_0,0
49,brush_my_hair_without_wearing_the_glasses_brush_hair_u_nm_np1_fr_goo_1,0
50,brush_my_hair_without_wearing_the_glasses_brush_hair_u_nm_np1_fr_goo_2,0
51,brushing_hair_2_brush_hair_h_nm_np1_ba_med_0,0
52,brushing_hair_2_brush_hair_h_nm_np1_ba_med_1,0
53,brushing_hair_2_brush_hair_h_nm_np1_ba_med_2,0
54,brushing_jrs_hair_brush_hair_u_cm_np2_le_goo_0,0
55,brushing_jrs_hair_brush_hair_u_cm_np2_le_goo_1,0
56,brushing_raychel_s_hair_brush_hair_u_cm_np2_ri_goo_0,0
57,brushing_raychel_s_hair_brush_hair_u_cm_np2_ri_goo_1,0
58,brushing_raychel_s_hair_brush_hair_u_cm_np2_ri_goo_2,0
59,can_somebody_just_brush_my_hair!_brush_hair_u_cm_np2_ri_med_0,0
60,long_hair_Christa__brush_hair_u_nm_np1_le_goo_0,0
61,me_brushing_my_hair_lol_i_was_being_silly_brush_hair_u_nm_np1_ba_goo_2,0
62,me_brushing_my_hair_lol_i_was_being_silly_brush_hair_u_nm_np1_fr_goo_0,0
63,me_brushing_my_hair_lol_i_was_being_silly_brush_hair_u_nm_np1_le_goo_1,0
64,me_brushing_my_hair_lol_i_was_being_silly_brush_hair_u_nm_np1_ri_goo_3,0
65,red_head_brush_hair_u_cm_np1_ba_goo_0,0
66,red_head_brush_hair_u_cm_np1_fr_goo_1,0
67,red_head_brush_hair_u_cm_np1_le_goo_2,0
68,sarah_brushing_her_hair_brush_hair_h_cm_np1_ri_goo_0,0
69,sarah_brushing_her_hair_brush_hair_h_cm_np1_ri_goo_1,0
70,(Rad)Schlag_die_Bank!_cartwheel_f_cm_np1_le_med_0,1
71,Acrobacias_de_un_fenomeno_cartwheel_f_cm_np1_ba_bad_8,1
72,Acrobacias_de_un_fenomeno_cartwheel_f_cm_np1_fr_bad_3,1
73,Acrobacias_de_un_fenomeno_cartwheel_f_cm_np1_fr_bad_4,1
74,Acrobacias_de_un_fenomeno_cartwheel_f_cm_np1_fr_bad_5,1
75,Aerial_Cartwheel_Tutorial_By_Jujimufu_cartwheel_f_nm_np1_ri_med_0,1
76,Bayer__Meisterin_Teresa_Stadler_cartwheel_f_cm_np1_le_med_2,1
77,Beim_Radschlag_Hose_gerissen_(Nick)_xD_cartwheel_f_cm_np1_ri_med_0,1
78,Boden_bung_Spoho_Eignungspr_fung_cartwheel_f_cm_np1_ri_med_2,1
79,Bodenturnen_2004_cartwheel_f_cm_np1_le_med_0,1
80,Bodenturnen_2004_cartwheel_f_cm_np1_le_med_4,1
81,Bodenturnen_2004_cartwheel_f_cm_np1_ri_med_2,1
82,Bodenturnen_im_sportunterricht_cartwheel_f_cm_np1_ri_med_2,1
83,Bodenturnen_im_sportunterricht_cartwheel_f_cm_np1_ri_med_4,1
84,CarTwHeeL_PerFecT_cartwheel_f_cm_np1_le_med_0,1
85,Cartwheel_Competition_cartwheel_f_cm_np1_le_med_0,1
86,Cartwheel_Competition_cartwheel_f_cm_np1_le_med_2,1
87,Cartwheel_Competition_cartwheel_f_cm_np1_le_med_4,1
88,Cartwheel_Competition_cartwheel_f_cm_np1_ri_med_1,1
89,Cartwheel_Competition_cartwheel_f_cm_np1_ri_med_3,1
90,Cartwheel_Competition_cartwheel_f_cm_np1_ri_med_5,1
91,Charlottes_Brilliant_Roly_Poly__Handstand_Thingy_cartwheel_f_cm_np1_le_bad_1,1
92,DSHS_Pflicht_Bodenturnen_BAS_1_Bachelor_Spoho_cartwheel_f_cm_np1_ri_med_0,1
